SeqName	Description
Gene_002846	bbsome-interacting 1
Gene_002847	dnaj homolog
Gene_002848	iron-sulfur cluster co-chaperone mitochondrial
Gene_002849	swr1 complex bromodomain subunit brf1
Gene_002850	hypothetical protein pbra 002308
Gene_002851	kinesin kin-14s
Gene_002852	hypothetical protein pbra 002306
Gene_002853	zinc finger
Gene_002854	sterol desaturase
Gene_002855	morn repeat
Gene_002857	hypothetical protein pbra 002303
Gene_002858	loc100145185 related
Gene_002859	vacuolar membrane-associated iml1
Gene_002860	dep domain containing
Gene_002862	d-amino acid dehydrogenase
Gene_002865	hypothetical protein pbra 002301
Gene_002866	major antigen
Gene_002867	hypothetical protein pbra 002300
Gene_002868	hypothetical protein pbra 002298
Gene_002869	hypothetical protein pbra 002297
Gene_002870	viral a-type inclusion
Gene_002871	hypothetical protein pbra 002295
Gene_002872	hypothetical protein pbra 002294
Gene_002873	dj-1 family
Gene_002874	atp dependent dna ligase
Gene_002875	hypothetical protein pbra 002291
Gene_002876	hypothetical protein pbra 002290
Gene_002877	glucosidase 2 subunit beta
Gene_002878	elongator complex 2 isoform x1
Gene_002879	beta-galactosidase 9-like
Gene_002880	hypothetical protein pbra 009683
Gene_002881	hsp70-binding 1
Gene_002883	hypothetical protein pbra 002286
Gene_002884	hypothetical protein pbra 002285
Gene_002885	hypothetical protein pbra 002284
Gene_002886	hypothetical protein pbra 002283
Gene_002887	heat shock ssa2 ( )
Gene_002888	hypothetical protein pbra 006918
Gene_002889	hypothetical protein pbra 002280
Gene_002891	hypothetical protein pbra 009043
Gene_002892	deoxyhypusine hydroxylase
Gene_002893	lov domain-containing
Gene_002895	glutamine-hydrolyzing gmp synthase
Gene_002896	spermatogenesis-associated 13
Gene_002897	zinc finger domain containing
Gene_002898	muscle-specific 20-like
Gene_002899	hypothetical protein pbra 002274
Gene_002900	threonylcarbamoyl-amp synthase
Gene_002901	hypothetical protein pbra 002272
Gene_002902	hypothetical protein pbra 002271
Gene_002903	lipid phosphate phosphatase chloroplastic-like
Gene_002904	dolichyldiphosphatase 1
Gene_002905	hypothetical protein pbra 002268
Gene_002906	co-chaperone p23
Gene_002907	molecular chaperone
Gene_002908	arf gtpase activating
Gene_002909	28 kda chloroplastic-like
Gene_002910	e3 ubiquitin-ligase huwe1-like
Gene_002912	related to ubiquitin-ligase 1
Gene_002913	60s ribosomal l13
Gene_002914	ruvb-like 2
Gene_002915	plant auxin-responsive gh3
Gene_002916	microtubule-associated rp eb family member 3
Gene_002917	tor kinase binding
Gene_002918	hypothetical protein pbra 002257
Gene_002919	hypothetical protein pbra 002255
Gene_002920	hypothetical protein pbra 002254
Gene_002921	hypothetical protein pbra 002252
Gene_002922	hypothetical protein pbra 002251
Gene_002923	hypothetical protein pbra 002250
Gene_002924	probable g-coupled receptor cg31760
Gene_002925	radial spoke head 1 homolog
Gene_002926	cysteine ase
Gene_002927	e2f transcription factor-like e2ff isoform x1
Gene_002928	28s ribosomal mitochondrial
Gene_002929	tetratricopeptide repeat
Gene_002930	hypothetical protein pbra 002244
Gene_002931	fanconi-associated nuclease 1 homolog isoform x2
Gene_002932	scar dicdi ame: full= scar ame: full=suppressor of camp receptor
Gene_002934	hypothetical protein pbra 002242
Gene_002936	px domain
Gene_002937	hypothetical protein pbra 002240
Gene_002938	hypothetical protein pbra 002239
Gene_002942	dynein intermediate chain 2
Gene_002943	hypothetical protein pbra 002237
Gene_002944	cdc4 and related f-box and wd-40 s
Gene_002945	myotubularin-related 13 isoform x2
Gene_002946	family domain-containing variant 2
Gene_002947	atp-dependent (s)-nad(p)h-hydrate dehydratase isoform x3
Gene_002948	dna-directed rna polymerase ii subunit 4-like
Gene_002951	40s ribosomal s3a
Gene_002952	mak16 homolog
Gene_002953	telomeric repeat-binding factor 1
Gene_002954	hypothetical protein pbra 002230
Gene_002955	ribosome biogenesis gtpase
Gene_002956	hypothetical protein pbra 002228
Gene_002957	tetratricopeptide repeat domain containing
Gene_002958	hypothetical protein pbra 002226
Gene_002959	gpi mannosyltransferase 1-like
Gene_002960	e3 ubiquitin ligase
Gene_002961	transmembrane e3 ubiquitin-ligase 1-like
Gene_002962	cytochrome c
Gene_002963	hypothetical protein pbra 002222
Gene_002964	cwf19 2
Gene_002966	hypothetical protein pbra 002217
Gene_002967	2-amino-3-ketobutyrate coenzyme a ligase
Gene_002968	hypothetical protein pbra 005417
Gene_002969	cop9 signalosome complex subunit 7
Gene_002970	cop9 signalosome complex subunit 7b-like
Gene_002971	concanavalin a-like lectin glucanase
Gene_002972	pyridoxal kinase isoform x2
Gene_002973	hypothetical protein pbra 002211
Gene_002974	hypothetical protein pbra 002211
Gene_002975	peroxisome biogenesis factor 2-like
Gene_002976	hypothetical protein pbra 002210
Gene_002977	hypothetical protein pbra 002210
Gene_002978	hypothetical protein pbra 002209
Gene_002979	hypothetical protein pbra 002208
Gene_002980	hypothetical protein pbra 002207
Gene_002981	ring-h2 finger atl7-like
Gene_002982	hypothetical protein pbra 002205
Gene_002983	hypothetical protein pbra 002204
Gene_002984	hypothetical protein pbra 002204
Gene_002985	serine protease family
Gene_002986	tm260 dicdi ame: full=transmembrane 260 homolog
Gene_002988	tetratricopeptide repeat 38
Gene_002989	hypothetical protein pbra 002200
Gene_002990	hypothetical protein pbra 002199
Gene_002991	bifunctional folylpolyglutamate synthase dihydrofolate synthase
Gene_002993	e3 ubiquitin-ligase topors
Gene_002994	hypothetical protein pbra 002194
Gene_002995	hypothetical protein pbra 002192
Gene_002996	dual specificity phosphatase
Gene_002997	mar5 transposase
Gene_002998	hypothetical protein pbra 002190
Gene_002999	hypothetical protein pbra 002189
Gene_003000	hypothetical protein pbra 002188
Gene_003001	family pseudouridine synthase
Gene_003002	muts homolog 5-like isoform x1
Gene_003005	achain crystal structure of engineered northeast structural genomics consortium target
Gene_003006	hypothetical protein pbra 003625
Gene_003007	hmg (high mobility group) box domain containing
Gene_003008	hypothetical protein pbra 003623
Gene_003009	pre-mrna-processing 45
Gene_003010	ump-cmp kinase
Gene_003011	hypothetical protein pbra 003620
Gene_003012	peptidyl-trna hydrolase mitochondrial isoform x2
Gene_003013	[micromonas commoda]
Gene_003014	signal recognition particle beta subunit
Gene_003015	zinc finger ccch domain-containing 64
Gene_003016	ulp1 protease carboxy-terminal domain
Gene_003017	atp synthase beta subunit
Gene_003018	likely vesicular transport factor uso1p
Gene_003019	hypothetical protein pbra 003612
Gene_003020	hypothetical protein pbra 003611
Gene_003022	cobalamin synthesis
Gene_003023	50s ribosomal l3
Gene_003025	p-loop containing nucleoside triphosphate hydrolase
Gene_003026	actin-related 2 3 complex subunit 5
Gene_003028	hypothetical protein pbra 003605
Gene_003029	ran gtpase-activating 1-like
Gene_003030	serine threonine-kinase sty46-like isoform x1
Gene_003031	hypothetical protein pbra 007505
Gene_003032	hypothetical protein guithdraft 58788; partial
Gene_003033	prohibitin-mitochondrial
Gene_003034	serine threonine kinase
Gene_003035	rho guanine nucleotide exchange
Gene_003036	hypothetical protein pbra 003600
Gene_003037	dolichyl-phosphate mannosyltransferase polypeptide regulatory subunit
Gene_003039	ribulose-phosphate 3-cytoplasmic isoform-like
Gene_003040	2-polyprenylphenol 6-hydroxylase
Gene_003042	thaumatin 1b
Gene_003043	t family
Gene_003044	hypothetical protein pbra 003594
Gene_003045	hypothetical protein pbra 003593
Gene_003046	kintoun-like isoform x1
Gene_003047	hypothetical protein [sphingomonas spermidinifaciens]
Gene_003050	histone-lysine n-methyltransferase nsd2-like isoform x1
Gene_003051	cytosine-mismatch binding 1
Gene_003052	hypothetical protein pbra 003590
Gene_003053	nicotinamide adenine dinucleotide transporter chloroplastic
Gene_003054	cral amine-terminal domain
Gene_003055	ph domain-containing (macronuclear)
Gene_003056	hypothetical protein pbra 003587
Gene_003057	conserved developmentally regulated
Gene_003058	nadh dehydrogenase [ubiquinone] iron-sulfur mitochondrial-like
Gene_003059	atp-dependent rna helicase
Gene_003060	ef-hand domain-containing family member c2-like
Gene_003062	nadp-dependent oxidoreductase domain
Gene_003063	hypothetical protein pbra 003583
Gene_003064	hypothetical protein pbra 003583
Gene_003065	pre-mrna-splicing factor 38b isoform x1 [tarenaya hassleriana]
Gene_003066	cell division cycle-associated 7
Gene_003068	acyl-dehydrogenase family member 11
Gene_003070	hypothetical protein guithdraft 88640
Gene_003071	40s ribosomal s17-4-like
Gene_003072	dna-directed polymerase
Gene_003073	hypothetical protein pbra 003578
Gene_003074	replication factor c subunit 5
Gene_003075	thaumatin 1b
Gene_003076	signal peptidase complex subunit 1
Gene_003077	hypothetical protein pbra 006466
Gene_003078	fructose-bisphosphate aldolase
Gene_003079	hypothetical protein amtr s00012p00198620
Gene_003080	hypothetical protein pbra 003572
Gene_003081	exportin-2 isoform x1
Gene_003082	required for templated centriole assembly
Gene_003083	hypothetical protein pbra 003570
Gene_003084	hypothetical protein pbra 003570
Gene_003085	vesicle-trafficking sec22b-b isoform x1
Gene_003087	casp isoform x1
Gene_003088	hypothetical protein pbra 003566
Gene_003089	hypothetical protein pbra 001626
Gene_003090	hypothetical protein pbra 003563
Gene_003091	hypothetical protein pbra 003563
Gene_003093	hypothetical protein pbra 001625
Gene_003094	transposon unclassified
Gene_003095	hypothetical protein pbra 003563
Gene_003096	hypothetical protein pbra 003562
Gene_003097	hypothetical protein pbra 003561
Gene_003098	hypothetical protein pbra 003561
Gene_003099	hypothetical protein pbra 003560
Gene_003101	hypothetical protein pbra 003558
Gene_003102	hypothetical protein pbra 003557
Gene_003103	septum formation maf
Gene_003104	septum formation maf
Gene_003105	hypothetical protein pbra 003555
Gene_003106	wd repeat-containing 92
Gene_003107	telo2-interacting 1 homolog
Gene_003108	hypothetical protein pbra 003552
Gene_003109	sperm motility kinase w isoform x1
Gene_003110	kinase domain
Gene_003111	serine threonine kinase
Gene_003112	cbl-interacting serine threonine-kinase 3-like
Gene_003113	retrotransposon nucleocapsid
Gene_003114	hypothetical protein pbra 007446; partial
Gene_003115	hypothetical protein pbra 008862
Gene_003116	hypothetical protein pbra 008862
Gene_003117	hypothetical protein pbra 008861
Gene_003118	nucleolar complex 2 homolog
Gene_003120	60s ribosomal l37-2
Gene_003121	hypothetical protein pbra 008858
Gene_003122	hypothetical protein pbra 008857
Gene_003123	atp-utilizing phosphoenolpyruvate carboxykinase
Gene_003124	hypothetical protein pbra 008855
Gene_003125	hypothetical protein pbra 008853
Gene_003126	leucine-rich repeat and iq domain-containing 3 isoform x1
Gene_003127	hypothetical protein pbra 008852
Gene_003128	microtubule-associated 10
Gene_003129	hypothetical protein pbra 008850
Gene_003130	family gt77
Gene_003131	family gt77
Gene_003132	tubulin polyglutamylase complex subunit 2 isoform x1
Gene_003133	hypothetical protein pbra 008847
Gene_003134	serine threonine-active site
Gene_003135	isoform a
Gene_003136	dead-box atp-dependent rna helicase 35
Gene_003137	wd40 repeat-containing
Gene_003138	myotubularin-related 2
Gene_003139	c-myc promoter-binding isoform x1
Gene_003140	mitochondrial fission process 1
Gene_003141	hypothetical protein pbra 008839
Gene_003142	hypothetical protein pbra 008838
Gene_003143	jmjc domain-containing 7-like
Gene_003144	hypothetical protein pbra 008835
Gene_003145	nuclear pore complex nup85
Gene_003146	probable s-acyltransferase 15
Gene_003147	hypothetical protein pbra 008832
Gene_003148	hypothetical protein pbra 008831
Gene_003149	hypothetical protein pbra 008830
Gene_003150	hypothetical protein pbra 008830
Gene_003151	hypothetical protein pbra 008829
Gene_003152	16s rrna (uracil(1498)-n(3))-methyltransferase
Gene_003153	hypothetical protein pbra 009691; partial
Gene_003154	hypothetical protein pbra 009695
Gene_003155	hypothetical protein pbra 009692; partial
Gene_003156	hypothetical protein pbra 009691; partial
Gene_003157	hypothetical protein pbra 007219
Gene_003158	hypothetical protein pbra 007218
Gene_003159	hypothetical protein pbra 007218
Gene_003160	hypothetical protein pbra 007218
Gene_003161	hypothetical protein pbra 007216
Gene_003162	hypothetical protein pbra 007216
Gene_003163	hypothetical protein pbra 007215
Gene_003164	fha domain-containing
Gene_003165	zf-dhhc-domain-containing [auricularia subglabra tfb-10046 ss5]
Gene_003168	elongation of fatty acids
Gene_003171	hypothetical protein pbra 007209
Gene_003172	hypothetical protein pbra 007208
Gene_003173	uncharacterized endoplasmic reticulum membrane
Gene_003174	hypothetical protein pbra 007207
Gene_003176	hypothetical protein pbra 007206
Gene_003179	myosin viia
Gene_003180	hypothetical protein pbra 007204
Gene_003181	serine palmitoyltransferase 1-like
Gene_003182	aldehyde dehydrogenase family
Gene_003183	hypothetical protein pbra 007202
Gene_003184	dual specificity phosphatase 21 isoform x1
Gene_003185	hypothetical protein pbra 007200
Gene_003186	phosphatidylinositol 3-root isoform
Gene_003187	crooked neck 1
Gene_003188	deleted in malignant brain tumors 1-like
Gene_003189	multiple epidermal growth factor-like domains 6
Gene_003190	udp-glucose:glyco glucosyltransferase
Gene_003192	kelch 5
Gene_003193	40s ribosomal s12
Gene_003194	hypothetical protein pbra 007194
Gene_003195	cyclin-l1 isoform x1
Gene_003196	hypothetical protein pbra 007192
Gene_003197	endoplasmic reticulum mannosyl-oligosaccharide 1;2-alpha-mannosidase-like
Gene_003198	hypothetical protein pbra 007190
Gene_003199	hypothetical protein pbra 009177; partial
Gene_003202	hypothetical protein pbra 007188
Gene_003203	hypothetical protein pbra 007187
Gene_003205	hypothetical protein pbra 007186
Gene_003206	hormone-sensitive lipase
Gene_003207	ef hand family
Gene_003208	13 kda deflagellation-inducible
Gene_003209	2og-fe(ii) oxygenase family
Gene_003211	hypothetical protein pbra 007180
Gene_003212	hypothetical protein pbra 007179
Gene_003213	hypothetical protein pbra 007178
Gene_003214	hypothetical protein pbra 007177
Gene_003215	hypothetical protein pbra 007177
Gene_003216	hypothetical protein pbra 007176
Gene_003217	hypothetical protein pbra 007177
Gene_003218	short chain
Gene_003219	hypothetical protein pbra 007174
Gene_003220	hypothetical protein pbra 007168
Gene_003222	transferase [elstera cyanobacteriorum]
Gene_003223	mitochondrial chaperone bcs1
Gene_003225	hypothetical protein pbra 007551
Gene_003226	heat shock 70 kda 12a-like
Gene_003227	septin and tuftelin-interacting 1 homolog 1
Gene_003228	hypothetical protein pbra 007168
Gene_003229	hypothetical protein pbra 007167
Gene_003231	1-phosphatidylinositol-3-phosphate 5-kinase fab1
Gene_003232	peptide-aspartate beta-dioxygenase
Gene_003233	speckle-type poz b-like
Gene_003234	ribosomal rna-processing 7 homolog a
Gene_003235	hypothetical protein pbra 007162
Gene_003236	hypothetical protein pbra 007161
Gene_003237	hypothetical protein pbra 007160
Gene_003238	mannose-6-phosphate isomerase
Gene_003239	molybdopterin converting factor subunit 1
Gene_003240	nhl repeat-containing
Gene_003241	hypothetical protein pbra 007156
Gene_003242	nhl repeat-containing
Gene_003243	transcription factor hivep3 isoform x2
Gene_003245	zinc finger and btb domain-containing 10-like
Gene_003246	hypothetical protein pbra 007155
Gene_003247	wd g-beta repeat-containing
Gene_003248	hypothetical protein pbra 007154
Gene_003249	hypothetical protein pbra 007153
Gene_003250	wd40 repeat-containing
Gene_003251	g-beta wd-40 repeats containing
Gene_003252	ras-related gtp-binding a
Gene_003253	hypothetical protein pbra 007190
Gene_003254	hypothetical protein pbra 007148
Gene_003255	hypothetical protein pbra 007147
Gene_003256	hypothetical protein pbra 007146
Gene_003257	haus augmin-like complex subunit 5
Gene_003258	hypoxanthine phosphoribosyltransferase
Gene_003260	hypothetical protein pbra 007143
Gene_003261	hypothetical protein pbra 007143
Gene_003262	hypothetical protein pbra 007143
Gene_003263	hypothetical protein pbra 007142
Gene_003264	ubp1-associated 2c
Gene_003265	mitotic spindle assembly checkpoint mad2b-like
Gene_003266	mitochondrial translocase (mpt) family
Gene_003267	polycomb eed
Gene_003268	cgmp-dependent isozyme 2 forms cd4 t1 t3a t3b
Gene_003269	diacylglycerol acyltransferase type 2a
Gene_003270	intraflagellar transport 81
Gene_003271	probable e3 ubiquitin-ligase rbra
Gene_003272	hypothetical protein pbra 005369
Gene_003273	hypothetical protein pbra 007133
Gene_003274	hypothetical protein pbra 005072
Gene_003275	hypothetical protein pbra 007133
Gene_003276	hypothetical protein pbra 002291
Gene_003277	family 3 domain-containing
Gene_003278	dna replication factor cdt1
Gene_003279	aldehyde dehydrogenase
Gene_003280	hypothetical protein pbra 007129
Gene_003281	box c d snorna 1
Gene_003283	alpha beta hydrolase
Gene_003284	inositol polyphosphate 5-phosphatase
Gene_003285	hypothetical protein pbra 007125
Gene_003287	class i sam-dependent methyltransferase
Gene_003288	intraflagellar transport 25 homolog isoform x1
Gene_003289	ras let-60
Gene_003290	augmin subunit 4
Gene_003291	mfs general substrate transporter
Gene_003292	50s ribosomal l10
Gene_003293	e3 ubiquitin-ligase rnf8-a-like
Gene_003294	glycoside hydrolase
Gene_003295	kinase-like domain
Gene_003296	p-loop containing nucleoside triphosphate hydrolase
Gene_003297	hypothetical protein pbra 007115
Gene_003298	dna-directed rna polymerases and iii subunit
Gene_003299	hypothetical protein pbra 007114
Gene_003300	hypothetical protein pbra 007112
Gene_003301	ring-h2 finger atl56
Gene_003302	angio-associated migratory cell
Gene_003303	translation initiation factor if-3
Gene_003304	hypothetical protein pbra 007109
Gene_003305	abc transporter g family
Gene_003306	abc2 type transporter superfamily
Gene_003307	hypothetical protein pbra 007107
Gene_003308	hypothetical protein pbra 007106
Gene_003309	hypothetical protein pbra 007105
Gene_003310	dctp deaminase
Gene_003311	tubulin-tyrosine ligase family
Gene_003312	hypothetical protein pbra 007102
Gene_003313	transient-receptor-potential calcium channel
Gene_003314	neuropathy target esterase
Gene_003315	set domain
Gene_003317	universal stress a isoform x2
Gene_003318	dihydropteroate synthase
Gene_003320	hypothetical protein pbra 007097
Gene_003321	hypothetical protein pbra 007096
Gene_003322	telomere length regulation tel2 homolog
Gene_003323	acetyltransferase at1g77540
Gene_003324	hypothetical protein pbra 009692; partial
Gene_003325	cell division cycle-associated 7
Gene_003326	thioredoxin-disulfide reductase
Gene_003327	hypothetical protein pbra 009574
Gene_003329	calcineurin subunit b type 2
Gene_003330	hypothetical protein pbra 004134
Gene_003331	abc transporter g family member 11-like
Gene_003332	dna-directed rna polymerase and iii subunit rpabc5
Gene_003333	hypothetical protein pbra 004137
Gene_003334	fam151b isoform x1
Gene_003335	hypothetical protein pbra 004139
Gene_003336	hypothetical protein pbra 004161
Gene_003337	fam151b isoform x1
Gene_003338	hypothetical protein pbra 004141
Gene_003339	40s ribosomal s29 [choanephora cucurbitarum]
Gene_003340	[naegleria gruberi]
Gene_003342	hypothetical protein pbra 004143
Gene_003343	hypothetical protein pbra 004144
Gene_003344	nucleoside monophosphate kinase
Gene_003345	kynurenine alpha-aminoadipate mitochondrial isoform x2
Gene_003346	cation transporter
Gene_003347	mif4g-type 3
Gene_003348	eukaryotic translation initiation factor 4 gamma 3 (eif4-gamma 3)
Gene_003349	transmembrane 18
Gene_003350	methyltransferase 13
Gene_003351	hypothetical protein stecoe 28695
Gene_003352	vacuolar sorting-associated 11 homolog
Gene_003353	mitogen-activated kinase-binding 1 isoform x2
Gene_003354	rhodanese domain containing (macronuclear)
Gene_003356	eukaryotic translation initiation factor 2 subunit alpha
Gene_003358	hypothetical protein pbra 004155
Gene_003359	50s ribosomal chloroplastic
Gene_003360	c transferase
Gene_003361	actin 1
Gene_003362	cysteinyl-trna synthetase
Gene_003363	zinc transporter
Gene_003364	hypothetical protein pbra 004161
Gene_003365	mitochondrial nuclease
Gene_003366	hypothetical protein pbra 004163
Gene_003369	steroid dehydrogenase
Gene_003370	upf0705 c11orf49 homolog
Gene_003372	hbs1
Gene_003373	hypothetical protein pbra 004167
Gene_003374	probable rna methyltransferase cg1239
Gene_003375	uncharacterized protein apz42 003825; partial
Gene_003376	hypothetical protein pbra 004171
Gene_003377	retrotransposable element tf2
Gene_003379	methionine-trna mitochondrial-like isoform x1
Gene_003380	regulator of g signaling
Gene_003381	hypothetical protein pbra 004175
Gene_003382	intraflagellar transport 80 homolog
Gene_003383	60s ribosomal l39
Gene_003384	hypothetical protein pbra 004179
Gene_003385	calcyclin-binding-like
Gene_003387	hypothetical protein pbra 004181
Gene_003388	proton proton transport
Gene_003389	v0 a0 116-kda subunit of atpase
Gene_003392	sel1 repeat family
Gene_003393	rpa-interacting isoform x3
Gene_003394	non-histone chromosomal 6
Gene_003395	u2 small nuclear ribonucleo b
Gene_003396	dna-(apurinic or apyrimidinic site) lyase
Gene_003397	e3 ubiquitin-ligase rfwd3
Gene_003400	zinc finger (dhhc type) family
Gene_003401	hypothetical protein pbra 006955
Gene_003402	hypothetical protein pbra 006955
Gene_003403	hypothetical protein pbra 006955
Gene_003404	hypothetical protein pbra 007052; partial
Gene_003405	hypothetical protein pbra 004191
Gene_003406	hypothetical protein pbra 009353
Gene_003407	hypothetical protein pbra 004192
Gene_003408	pogo transposable element with krab domain
Gene_003409	hypothetical protein pbra 004194
Gene_003410	hypothetical protein pbra 002531
Gene_003411	molybdenum cofactor biosynthesis c
Gene_003412	hypothetical protein pbra 006955
Gene_003413	molybdenum cofactor biosynthesis 1 isoform x3
Gene_003414	hypothetical protein pbra 004198
Gene_003416	hypothetical protein bvrb 035960; partial
Gene_003417	ankyrin repeat
Gene_003418	hypothetical protein pbra 003378
Gene_003419	vacuolar sorting-associated 8
Gene_003420	probable pre-mrna-splicing factor atp-dependent rna helicase deah5
Gene_003421	structural maintenance of chromosomes 4
Gene_003422	e3 ubiquitin-ligase ari8
Gene_003424	e3 ubiquitin-ligase arih2
Gene_003427	ariadne 1
Gene_003428	hypothetical protein pbra 004204
Gene_003429	hypothetical protein pbra 004205
Gene_003430	hypothetical protein pbra 008161
Gene_003433	hypothetical protein pbra 008161
Gene_003434	scavenger mrna decapping enzyme c-term binding-domain-containing
Gene_003436	eyes absent homolog 3 isoform x2
Gene_003437	dead box rna helicase
Gene_003438	ariadne 1
Gene_003439	alpha-2-glucosyltransferase alg10
Gene_003440	metal ion binding oxidoreductase
Gene_003441	paladin isoform x2
Gene_003442	hypothetical protein pbra 004210
Gene_003443	family alpha-l-glutamate ligase
Gene_003444	hypothetical protein pbra 009706
Gene_003445	peptidyl-prolyl cis-trans isomerase
Gene_003446	ubiquitin carboxyl-terminal hydrolase 2-like
Gene_003447	alpha;alpha-trehalose-phosphate synthase
Gene_003448	alpha;alpha-trehalose-phosphate synthase [udp-forming] 1
Gene_003449	ubiquitin carboxyl-terminal hydrolase 13
Gene_003450	b-cell lymphoma 3 homolog
Gene_003451	hypothetical protein pbra 009605
Gene_003452	histone acetyltransferase kat8-like
Gene_003454	ankyrin repeat
Gene_003455	hypothetical protein pbra 004219
Gene_003456	chromatin-remodeling complexes subunit ngg1 q9usu8
Gene_003457	glucose-induced degradation 4 homolog
Gene_003458	hypothetical protein pbra 004222
Gene_003459	nad-dependent deacetylase sirtuin-6-like
Gene_003460	lamin-l(iii)-like isoform x2
Gene_003461	hypothetical protein pbra 007496
Gene_003462	hypothetical protein pbra 004225
Gene_003463	hypothetical protein pbra 004226
Gene_003464	dynein heavy chain
Gene_003465	hypothetical protein pbra 004226
Gene_003466	hypothetical protein pbra 004226
Gene_003467	hypothetical protein pbra 007550
Gene_003468	hypothetical protein pbra 004227
Gene_003469	metallophosphoesterase
Gene_003470	anion exchanger adaptor contains fha domain
Gene_003472	hypothetical protein aurandraft 15978; partial
Gene_003473	u3 small nucleolar rna-associated mpp10
Gene_003474	hypothetical protein pbra 004231
Gene_003475	centrosomal of 44 kda-like isoform x1
Gene_003476	rna 2-tpt1 family
Gene_003477	nucleolar 10
Gene_003478	solute carrier family 25 member 40 isoform x2
Gene_003479	mitochondrial precursor
Gene_003480	hypothetical protein pbra 004237
Gene_003481	hypothetical protein pbra 003428
Gene_003482	triacylglycerol lipase
Gene_003483	hypothetical protein pbra 004239
Gene_003484	transmembrane 260 isoform x1
Gene_003485	zinc phosphodiesterase elac 2
Gene_003486	leucine-rich repeat-containing 9
Gene_003487	set domain containing
Gene_003488	e3 ubiquitin-ligase upl6
Gene_003489	hypothetical protein pbra 004245
Gene_003490	hypothetical protein pbra 004246
Gene_003492	lysosome membrane 2-like
Gene_003493	exosome complex exonuclease rrp44
Gene_003494	hypothetical protein bvrb 024270; partial
Gene_003495	dimethyladenosine transferase
Gene_003496	hypothetical protein pbra 004249
Gene_003497	[micromonas commoda]
Gene_003498	hypothetical protein pbra 004252
Gene_003499	abhydrolase domain-containing 18
Gene_003502	n-alpha-acetyltransferase auxiliary subunit
Gene_003503	hypothetical protein pbra 004255
Gene_003504	histone-lysine n-methyltransferase
Gene_003506	cobalamin biosynthesis
Gene_003508	hypothetical protein pbra 004259
Gene_003509	hypothetical protein pbra 004258
Gene_003510	hypothetical protein pbra 004258
Gene_003511	3-deoxy-7-phosphoheptulonate synthase
Gene_003512	condensin complex subunit 1 isoform x2
Gene_003513	39s ribosomal mitochondrial-like
Gene_003514	dead-box atp-dependent rna helicase 18-like isoform x1
Gene_003516	g patch domain-containing 11 isoform x2
Gene_003517	tubulin polyglutamylase ttll4
Gene_003520	probable profilin
Gene_003521	hypothetical protein pbra 004268
Gene_003523	cell division cycle-associated 7
Gene_003524	copper transpport
Gene_003525	atp-dependent rna helicase
Gene_003526	coiled-coil domain-containing 124
Gene_003527	farnesyltransferase subunit beta
Gene_003528	necap cg9132
Gene_003529	migration and invasion enhancer 1
Gene_003530	hypothetical protein pbra 004276
Gene_003531	dna-binding horma domain-containing
Gene_003532	phosphatidylethanolamine-binding
Gene_003533	50s ribosomal l33
Gene_003534	vacuolar h+ atpase 44kd c subunit
Gene_003536	rhamnose-binding lectin-like
Gene_003537	hypothetical protein pbra 004281
Gene_003538	transcription initiation factor iib
Gene_003539	hypothetical protein pbra 004284
Gene_003540	transcription factor tfiih complex subunit tfb2
Gene_003541	hypothetical protein pbra 004286
Gene_003542	unnamed product
Gene_003543	influenza virus ns1a-binding
Gene_003546	glu leu phe val dehydrogenase
Gene_003547	hypothetical protein pbra 004291
Gene_003548	hypothetical protein pbra 004292
Gene_003549	hypothetical protein pbra 004293
Gene_003551	atp-binding cassette superfamily [micromonas commoda]
Gene_003552	hypothetical protein pbra 004295
Gene_003553	hypothetical protein pbra 004295
Gene_003554	plastidic triose-phosphate phosphate translocator
Gene_003555	hypothetical protein pbra 004297
Gene_003556	hypothetical protein pbra 004298
Gene_003558	dna-directed rna polymerase iii subunit rpc3
Gene_003559	hypothetical protein pbra 004300
Gene_003560	hypothetical protein pbra 004301
Gene_003561	hypothetical protein pbra 004302
Gene_003562	hypothetical protein pbra 004303
Gene_003563	hypothetical protein pbra 004304
Gene_003564	hypothetical protein pbra 004305
Gene_003566	pathogenesis-related 1a-like
Gene_003567	udp-glycosyltransferase turan-like
Gene_003568	hypothetical protein pbra 004307
Gene_003569	hypothetical protein pbra 004308
Gene_003570	hypothetical protein pbra 004309
Gene_003571	zinc finger
Gene_003572	cbl-interacting serine threonine-kinase 5-like
Gene_003574	hypothetical protein pbra 004312
Gene_003575	mitochondrial precursor
Gene_003576	hypothetical protein pbra 004315
Gene_003577	hypothetical protein pbra 004316
Gene_003578	transketolase
Gene_003579	insulin-like growth factor-binding complex acid labile subunit
Gene_003580	hypothetical protein axg93 939s1080
Gene_003581	hypothetical protein pbra 009323
Gene_003584	pi-plc x domain-containing 2
Gene_003585	dna-damage-repair toleration chloroplastic
Gene_003586	fact complex subunit spt16-like
Gene_003587	hypothetical protein pbra 004322
Gene_003588	chloride conductance regulatory icln
Gene_003589	triose phosphate
Gene_003590	probable atp-dependent rna helicase ddx47
Gene_003591	hypothetical protein pbra 004326
Gene_003592	ankyrin-2 isoform x30
Gene_003593	hypothetical protein pbra 004327
Gene_003594	hypothetical protein pbra 004327
Gene_003595	wd40 repeat
Gene_003597	peptidase m14
